Wall time,Step,Value
1742636395.5812511,26300000,-98363.9296875
1742636418.5241454,26400000,29636.04296875
1742636446.7916481,26500000,-94193.421875
1742636470.0422971,26600000,100213.578125
1742636493.1570587,26700000,-336296.40625
1742636521.6372733,26800000,25843.71484375
1742636544.010959,26900000,125387.8046875
1742636572.890895,27000000,161695.0
1742636595.7110562,27100000,93758.421875
1742636617.8192585,27200000,-811116.0
1742636646.9425683,27300000,-272452.1875
1742636669.6016467,27400000,-131150.875
1742636698.8924575,27500000,-113778.796875
1742636721.5867417,27600000,-118576.5
1742636744.6931422,27700000,-98997.484375
1742636775.0692499,27800000,183449.28125
1742636798.3433356,27900000,190486.640625
1742636828.0741472,28000000,125190.203125
1742636851.2327573,28100000,103199.875
1742636874.2343266,28200000,63503.015625
1742636903.648723,28300000,133481.296875
1742636926.9073544,28400000,-117582.8515625
1742636957.0463936,28500000,-98547.375
1742636980.2209024,28600000,68237.34375
1742637003.3835528,28700000,-128632.4765625
1742637032.7199817,28800000,-103843.6015625
1742637055.722241,28900000,-137500.46875
1742637084.7538908,29000000,-118768.4296875
1742637107.675388,29100000,-75058.3125
1742637130.5930483,29200000,-19071.240234375
1742637159.566792,29300000,-117355.5078125
1742637181.2462099,29400000,-311433.3125
1742637209.3655841,29500000,-262347.0
1742637231.2117941,29600000,-301437.875
1742637253.5441544,29700000,232579.5625
1742637282.029108,29800000,109809.3828125
1742637304.3735955,29900000,70596.671875
1742637332.864744,30000000,-76857.859375
1742637354.8956342,30100000,-124087.4921875
1742637377.051544,30200000,-103441.3828125
1742637405.4428453,30300000,-135101.140625
1742637427.5784514,30400000,50797.36328125
1742637456.2801514,30500000,53713.59765625
1742637478.774559,30600000,150456.75
1742637501.133472,30700000,192229.125
1742637529.628672,30800000,125262.0703125
1742637552.0699408,30900000,184276.4375
1742637580.4935195,31000000,-66353.5078125
1742637601.834622,31100000,-818199.5
1742637623.1486988,31200000,-703218.375
1742637650.8024478,31300000,-856041.6875
1742637672.096578,31400000,-861949.875
1742637699.5654068,31500000,-850566.6875
1742637720.7492366,31600000,-823940.9375
1742637743.059257,31700000,-38251.7890625
1742637771.3802373,31800000,4134.48779296875
1742637793.6655114,31900000,-20064.62890625
1742637821.9954898,32000000,-47073.74609375
1742637843.6833484,32100000,-307945.78125
1742637864.9893224,32200000,-844670.3125
1742637892.574253,32300000,-866545.3125
1742637913.7512016,32400000,-869708.1875
1742637941.163504,32500000,-875602.125
1742637962.2900631,32600000,-874237.625
1742637983.5771098,32700000,-872690.75
1742638010.9770055,32800000,-870432.3125
1742638032.4763281,32900000,-771225.0
1742638060.7671998,33000000,12713.0
1742638081.9608936,33100000,-871745.9375
1742638103.254651,33200000,-745763.9375
1742638131.31508,33300000,-59720.0859375
1742638152.6640923,33400000,-546929.9375
1742638180.0407078,33500000,-801670.75
1742638201.1913056,33600000,-837717.125
1742638222.4370997,33700000,-849855.5625
1742638249.7344587,33800000,-758316.0
1742638271.471742,33900000,-454846.59375
1742638299.300256,34000000,-252940.53125
1742638321.4273193,34100000,-88598.0
1742638343.8316343,34200000,245569.125
1742638372.7084177,34300000,160017.21875
1742638394.9333203,34400000,-70261.3984375
1742638423.8403327,34500000,156057.390625
1742638446.0990412,34600000,113490.515625
1742638468.1715174,34700000,-114474.6484375
1742638496.9194365,34800000,46913.2890625
1742638519.327145,34900000,17709.75390625
1742638547.740184,35000000,-87582.140625
1742638570.601131,35100000,103085.5703125
1742638593.831072,35200000,82654.7109375
1742638622.695268,35300000,332365.8125
1742638645.5642152,35400000,221991.65625
1742638674.6411839,35500000,355858.625
1742638697.7445493,35600000,110910.9921875
1742638720.4442034,35700000,-27519.919921875
1742638749.5589738,35800000,-82254.4765625
1742638771.5175836,35900000,-287018.59375
1742638799.8913746,36000000,-316221.28125
1742638822.6662054,36100000,-69150.0390625
1742638845.4739063,36200000,51614.91796875
1742638875.1608105,36300000,17555.33984375
1742638898.4107182,36400000,107011.625
1742638927.4460893,36500000,-133736.65625
1742638950.3786001,36600000,-26662.646484375
1742638972.4403703,36700000,-110304.5859375
1742639000.8068888,36800000,141130.09375
1742639022.9415781,36900000,142433.34375
1742639051.6272297,37000000,51854.59765625
1742639074.5376656,37100000,18989.435546875
1742639097.039237,37200000,80431.0390625
1742639126.1755748,37300000,-88600.6796875
1742639149.143117,37400000,-77656.7734375
1742639178.580181,37500000,-17398.115234375
1742639201.5163758,37600000,-86597.8359375
1742639224.3271632,37700000,-106850.6484375
1742639253.7945693,37800000,-78837.359375
1742639277.5204237,37900000,163965.96875
1742639306.9774137,38000000,260028.828125
1742639330.4454806,38100000,31037.06640625
1742639353.191342,38200000,43294.1640625
1742639382.7022583,38300000,251034.109375
1742639405.6632998,38400000,-14273.80078125
1742639434.7060854,38500000,126453.015625
1742639457.5112557,38600000,84708.640625
1742639480.476254,38700000,156226.59375
1742639509.7631545,38800000,21420.697265625
1742639532.3980136,38900000,100934.3046875
1742639562.0091002,39000000,214934.28125
1742639585.393917,39100000,106356.0
1742639608.7667534,39200000,45051.20703125
1742639638.4518924,39300000,20836.82421875
1742639661.7244866,39400000,79486.953125
1742639691.5166273,39500000,-87638.1796875
1742639714.8116813,39600000,201222.09375
1742639737.9082267,39700000,-958.9464721679688
1742639767.7453027,39800000,-6317.24609375
1742639790.8255968,39900000,-129271.3828125
1742639819.6334934,40000000,-224403.140625
1742639843.062996,40100000,175203.46875
1742639866.4400935,40200000,31139.642578125
1742639895.9102473,40300000,175534.671875
1742639918.9192126,40400000,-378262.3125
1742639949.0652359,40500000,-88533.5546875
1742639972.6064558,40600000,-111178.3984375
1742639995.8013422,40700000,-103556.84375
1742640026.7173839,40800000,163778.546875
1742640052.001043,40900000,-112634.75
1742640082.5362113,41000000,-103844.296875
1742640106.3810987,41100000,-44918.34375
1742640130.2069423,41200000,-124034.515625
1742640160.440267,41300000,-57736.05078125
1742640183.7707086,41400000,322277.75
1742640213.0897129,41500000,-128655.3828125
1742640236.2173924,41600000,181511.96875
1742640260.3818588,41700000,337504.34375
1742640289.7128139,41800000,-34914.93359375
1742640313.1067324,41900000,1909.4296875
1742640342.4881954,42000000,145153.96875
1742640365.928085,42100000,144554.296875
1742640389.1591203,42200000,96679.65625
1742640418.6577065,42300000,263289.84375
1742640441.9688501,42400000,264838.4375
1742640471.7014556,42500000,-81457.9296875
1742640494.694268,42600000,63048.1015625
1742640517.6456978,42700000,-108161.0
1742640547.2208798,42800000,-100722.6640625
1742640570.2678592,42900000,-86554.078125
1742640599.7572238,43000000,-36666.91015625
1742640622.7759283,43100000,-103715.4296875
1742640645.884989,43200000,150799.53125
1742640675.3269339,43300000,-62153.42578125
1742640698.023021,43400000,-183257.359375
1742640727.345108,43500000,-106706.46875
1742640750.4200037,43600000,-53740.98828125
1742640773.5863986,43700000,-28737.84765625
1742640802.5413327,43800000,5215.28125
1742640825.8091118,43900000,172374.09375
1742640855.3896816,44000000,62267.41015625
1742640878.96569,44100000,198788.359375
1742640902.3022544,44200000,114750.6171875
1742640932.1673095,44300000,5916.83154296875
1742640955.1168923,44400000,-148596.890625
1742640984.5067585,44500000,-119148.609375
1742641007.5071177,44600000,-115085.46875
1742641030.6475275,44700000,-38608.390625
1742641060.4534235,44800000,47324.3671875
1742641083.7678938,44900000,6033.70556640625
1742641113.203545,45000000,-185504.234375
1742641136.790155,45100000,234197.59375
1742641160.1684947,45200000,242998.71875
1742641189.8369627,45300000,384857.71875
1742641213.2001789,45400000,256293.6875
1742641242.5566301,45500000,160768.8125
1742641265.8181546,45600000,333494.625
1742641289.340883,45700000,351542.09375
1742641318.9658575,45800000,667350.4375
1742641342.2740817,45900000,124476.8984375
1742641371.818465,46000000,-59402.4296875
1742641395.1017823,46100000,-15921.953125
1742641418.217476,46200000,-81812.4296875
1742641447.594712,46300000,-165118.0625
1742641471.02029,46400000,77392.421875
1742641500.5214758,46500000,462341.15625
1742641523.5678904,46600000,178297.875
1742641546.795453,46700000,224176.421875
1742641576.1624334,46800000,308683.78125
1742641599.184226,46900000,-150928.3125
1742641628.5663307,47000000,236285.515625
1742641651.9536836,47100000,333652.03125
1742641675.3296797,47200000,288373.0625
1742641704.6090496,47300000,141543.5625
1742641727.8613613,47400000,192274.53125
1742641757.7103798,47500000,182012.640625
1742641781.1188977,47600000,363812.53125
1742641804.5605128,47700000,1129938.75
1742641833.997628,47800000,279694.875
1742641857.4207375,47900000,861758.9375
1742641886.5758553,48000000,-150739.59375
1742641909.9148314,48100000,561518.0625
1742641933.2345395,48200000,728000.9375
1742641962.8165207,48300000,451651.53125
1742641985.8242476,48400000,141781.140625
1742642015.6220853,48500000,246938.375
1742642038.7393124,48600000,337021.5625
1742642062.300594,48700000,659772.0625
1742642092.2208881,48800000,254643.3125
1742642115.7554991,48900000,196225.640625
1742642145.1023693,49000000,-20317.626953125
1742642168.2861173,49100000,-157150.0
1742642191.0576346,49200000,-229213.609375
1742642220.4721396,49300000,-232879.09375
1742642243.4505231,49400000,88637.9765625
1742642272.882711,49500000,144412.65625
1742642295.7679126,49600000,-204172.359375
1742642318.849177,49700000,932.8350219726562
1742642348.2276103,49800000,-64972.19140625
1742642371.3378756,49900000,-10171.13671875
1742642400.4753551,50000000,-216854.40625
1742642423.5716252,50100000,11126.7861328125
1742642446.4877026,50200000,22831.638671875
1742642475.6611807,50300000,-69592.28125
1742642498.524272,50400000,-133297.484375
1742642528.2567394,50500000,-13657.51953125
1742642551.3168082,50600000,25652.96484375
1742642574.2268314,50700000,-82998.578125
1742642603.9517918,50800000,-30071.9765625
1742642627.2447557,50900000,189244.8125
1742642657.0183864,51000000,42186.3515625
1742642680.2919602,51100000,-18078.546875
1742642703.4020197,51200000,-43654.1484375
1742642732.5479054,51300000,-91007.578125
1742642755.2119746,51400000,-42508.65234375
1742642784.3046956,51500000,-58636.73828125
1742642807.1998148,51600000,-14944.7822265625
1742642830.4979641,51700000,-32807.546875
1742642859.6300213,51800000,-33831.7109375
1742642882.8409822,51900000,-31608.6875
1742642912.4977145,52000000,-54660.45703125
1742642935.9684706,52100000,-48015.40625
1742642958.667002,52200000,-163572.4375
1742642988.4442863,52300000,-59371.4375
1742643011.5195794,52400000,-46580.9765625
1742643041.3659728,52500000,3729.610107421875
1742643064.0520873,52600000,-61776.45703125
1742643087.370806,52700000,-14666.2578125
1742643116.175703,52800000,-118814.3359375
1742643138.5918849,52900000,-351755.96875
1742643168.2980134,53000000,-65122.46875
1742643191.3072412,53100000,-51972.73046875
1742643214.2569163,53200000,-44915.828125
1742643243.6608274,53300000,-58445.1171875
1742643266.6177902,53400000,-56481.3828125
1742643296.3679242,53500000,-13307.9208984375
1742643319.2800822,53600000,-9410.1943359375
1742643342.4236388,53700000,12579.59765625
1742643371.9535878,53800000,-839880.125
1742643395.174369,53900000,-275237.71875
1742643424.565043,54000000,-103684.1015625
1742643447.7739062,54100000,-76210.8515625
1742643470.6684499,54200000,-18994.03125
1742643500.5170114,54300000,-17725.03125
1742643523.7694345,54400000,40062.8515625
1742643553.4237077,54500000,40802.125
1742643576.543866,54600000,58336.6953125
1742643600.048439,54700000,103071.8515625
1742643630.2240915,54800000,30597.53125
1742643652.9926963,54900000,-331.7320251464844
1742643682.4248197,55000000,-20064.291015625
1742643705.3819766,55100000,33590.2265625
1742643728.2725558,55200000,41134.4453125
1742643758.0107582,55300000,12708.0556640625
1742643780.8361218,55400000,34113.19921875
1742643810.5657573,55500000,49349.00390625
1742643833.5068507,55600000,40769.21875
1742643856.5880535,55700000,53869.0390625
1742643886.4827814,55800000,48744.46875
1742643909.8245237,55900000,26709.537109375
1742643939.454583,56000000,-153152.96875
1742643962.9941683,56100000,45843.8515625
1742643985.820362,56200000,217245.703125
1742644015.5215712,56300000,73042.0
1742644038.688164,56400000,62887.07421875
1742644068.3657813,56500000,55750.05078125
1742644091.3364618,56600000,46509.3359375
1742644114.1753356,56700000,37233.85546875
1742644143.7084515,56800000,109569.8515625
1742644166.6465251,56900000,14066.662109375
1742644195.9897444,57000000,46598.19921875
1742644219.0915449,57100000,112667.1171875
1742644242.0212884,57200000,119005.0234375
1742644271.76436,57300000,314454.71875
1742644295.0228057,57400000,184691.859375
1742644325.1882174,57500000,521201.5625
1742644348.59724,57600000,265634.90625
1742644371.99011,57700000,338759.34375
1742644402.0700223,57800000,446790.125
1742644425.4738312,57900000,72752.2421875
1742644455.481162,58000000,143565.859375
1742644479.0569499,58100000,99075.3984375
1742644502.4367309,58200000,215897.15625
1742644532.5094228,58300000,405356.15625
1742644556.043797,58400000,420377.8125
1742644586.0679789,58500000,592881.25
1742644609.6888456,58600000,766281.3125
1742644633.4009013,58700000,557790.5
1742644663.1574051,58800000,432443.65625
1742644686.6105216,58900000,267926.125
1742644716.8547044,59000000,800084.1875
1742644740.2776635,59100000,374922.46875
1742644763.6728847,59200000,830788.9375
1742644793.0407054,59300000,393680.5625
1742644816.3324063,59400000,561347.8125
1742644846.6735754,59500000,812474.0625
1742644870.144403,59600000,284317.6875
1742644893.6202962,59700000,819886.3125
1742644922.8148394,59800000,144220.75
1742644946.497301,59900000,610726.125
1742644976.1467054,60000000,646474.5
1742644999.8836496,60100000,471763.53125
1742645023.5164554,60200000,373574.375
1742645053.6577814,60300000,373862.46875
1742645077.403471,60400000,1015774.9375
1742645107.8650324,60500000,814138.625
1742645131.5055602,60600000,906362.0
1742645155.3036761,60700000,1241307.75
1742645184.980681,60800000,886530.9375
1742645208.4881217,60900000,845959.625
1742645238.4241602,61000000,1174800.0
1742645261.6648345,61100000,465502.75
1742645285.0765967,61200000,1342657.5
1742645315.0214205,61300000,621848.6875
1742645338.267532,61400000,824871.1875
1742645368.0926676,61500000,282868.84375
1742645391.5755782,61600000,1104287.625
1742645415.0631418,61700000,1471822.25
1742645445.3445697,61800000,1817727.5
1742645468.9155881,61900000,526818.875
1742645498.603086,62000000,1199893.25
1742645522.1992972,62100000,1259088.75
1742645545.7213802,62200000,2293504.25
